Open,High,Low,Close,Volume
1.10939,1.10939,1.10939,1.10939,0.0
1.10934,1.10934,1.10921,1.10921,0.0
1.10922,1.10922,1.10922,1.10922,0.0
1.10923,1.10923,1.10918,1.10918,0.0
1.10921,1.10921,1.10921,1.10921,0.0
1.1092,1.10922,1.1092,1.10921,0.0
1.1092,1.1092,1.10916,1.1092,0.0
1.1092,1.1092,1.10918,1.1092,0.0
1.1092,1.1092,1.10918,1.10918,0.0
1.10917,1.10918,1.10917,1.10917,0.0
1.10918,1.1092,1.10918,1.10919,0.0
1.10918,1.10918,1.10918,1.10918,0.0
1.10918,1.10921,1.10918,1.10919,0.0
1.10919,1.10919,1.10918,1.10918,0.0
1.10917,1.10917,1.10916,1.10916,0.0
1.10916,1.10916,1.10916,1.10916,0.0
1.10917,1.10918,1.10912,1.10912,0.0
1.10912,1.10912,1.10911,1.10911,0.0
1.10911,1.10912,1.10911,1.10911,0.0
1.10911,1.10913,1.1091,1.1091,0.0
1.10909,1.10912,1.10909,1.10911,0.0
1.10912,1.10913,1.10909,1.1091,0.0
1.10911,1.10912,1.10877,1.10883,0.0
1.10884,1.10885,1.10884,1.10885,0.0
1.10884,1.10884,1.10884,1.10884,0.0
1.10884,1.10886,1.10877,1.10884,0.0
1.10882,1.10883,1.10878,1.10879,0.0
1.1088,1.10882,1.10876,1.10876,0.0
1.10879,1.10903,1.10879,1.10903,0.0
1.10904,1.10907,1.10903,1.10903,0.0
1.10903,1.10906,1.10872,1.10872,0.0
1.10871,1.10884,1.10869,1.10875,0.0
1.10874,1.10876,1.10866,1.10876,0.0
1.10874,1.10878,1.10859,1.10866,0.0
1.10864,1.10867,1.10858,1.10859,0.0
1.10858,1.10859,1.10828,1.10842,0.0
1.10843,1.10843,1.10821,1.10838,0.0
1.10838,1.10848,1.10837,1.10845,0.0
1.10845,1.10846,1.10844,1.10845,0.0
1.10844,1.10847,1.1083,1.1083,0.0
1.1083,1.10861,1.10813,1.10831,0.0
1.10832,1.10856,1.10823,1.10823,0.0
1.10823,1.10859,1.10823,1.10856,0.0
1.10856,1.10874,1.1085,1.10866,0.0
1.10866,1.10866,1.10864,1.10866,0.0
1.10866,1.10867,1.10866,1.10866,0.0
1.10866,1.10877,1.10865,1.10876,0.0
1.10873,1.10878,1.1087,1.10878,0.0
1.10878,1.10882,1.10875,1.1088,0.0
1.1088,1.10885,1.10878,1.1088,0.0
1.10879,1.1088,1.10874,1.10877,0.0
1.10878,1.1088,1.10871,1.10876,0.0
1.10876,1.10878,1.1087,1.10875,0.0
1.10876,1.10877,1.1087,1.10876,0.0
1.10877,1.10877,1.10869,1.10874,0.0
1.10874,1.1088,1.10829,1.10835,0.0
1.10835,1.10872,1.1083,1.10863,0.0
1.10862,1.10867,1.10862,1.10865,0.0
1.10864,1.10866,1.10848,1.10849,0.0
1.10849,1.10853,1.10844,1.10846,0.0
1.10851,1.10888,1.10851,1.10878,0.0
1.1088,1.1089,1.10877,1.10882,0.0
1.10882,1.10891,1.10881,1.10887,0.0
1.10888,1.10898,1.10888,1.10898,0.0
1.10898,1.10902,1.10895,1.10901,0.0
1.109,1.10904,1.10898,1.10899,0.0
1.10899,1.10905,1.10899,1.10899,0.0
1.10899,1.10901,1.10896,1.10899,0.0
1.10898,1.10901,1.10895,1.109,0.0
1.109,1.10902,1.10896,1.10901,0.0
1.10904,1.10907,1.109,1.10905,0.0
1.10905,1.10906,1.109,1.109,0.0
1.109,1.10906,1.109,1.109,0.0
1.10901,1.10902,1.109,1.109,0.0
1.10901,1.10904,1.10895,1.10895,0.0
1.10894,1.10897,1.10893,1.10895,0.0
1.10894,1.10894,1.10889,1.10891,0.0
1.10889,1.1089,1.10888,1.10888,0.0
1.1089,1.10891,1.10888,1.1089,0.0
1.10892,1.10894,1.10888,1.1089,0.0
1.1089,1.10891,1.10888,1.10888,0.0
1.1089,1.1089,1.10887,1.1089,0.0
1.1089,1.1089,1.10885,1.10886,0.0
1.10885,1.10887,1.10884,1.10885,0.0
1.10885,1.10885,1.10884,1.10884,0.0
1.10884,1.10888,1.10884,1.10885,0.0
1.10884,1.10891,1.10884,1.1089,0.0
1.1089,1.10893,1.1089,1.10891,0.0
1.10891,1.10896,1.1089,1.10895,0.0
1.10894,1.10894,1.1089,1.10891,0.0
1.10893,1.10896,1.1089,1.10893,0.0
1.10893,1.10897,1.10893,1.10896,0.0
1.10896,1.10896,1.1089,1.1089,0.0
1.10893,1.10896,1.10893,1.10896,0.0
1.10895,1.10902,1.10894,1.10902,0.0
1.10903,1.10905,1.10895,1.10897,0.0
1.10899,1.10899,1.10893,1.10894,0.0
1.10894,1.10901,1.10894,1.10901,0.0
1.109,1.109,1.10892,1.10894,0.0
1.10893,1.10896,1.10893,1.10895,0.0
1.10894,1.10896,1.10894,1.10895,0.0
1.10896,1.10896,1.1089,1.10891,0.0
1.10892,1.10892,1.1089,1.10891,0.0
1.1089,1.10891,1.1089,1.10891,0.0
1.1089,1.1089,1.10883,1.10885,0.0
1.10884,1.1089,1.10884,1.1089,0.0
1.1089,1.10891,1.10889,1.1089,0.0
1.10893,1.10893,1.10889,1.1089,0.0
1.10891,1.10891,1.10891,1.10891,0.0
1.10891,1.10891,1.10891,1.10891,0.0
1.10891,1.10897,1.10889,1.10895,0.0
1.10896,1.10896,1.10895,1.10895,0.0
1.10896,1.10898,1.1089,1.1089,0.0
1.10891,1.10891,1.10889,1.1089,0.0
1.10892,1.10895,1.10889,1.10894,0.0
1.10894,1.10895,1.10892,1.10895,0.0
1.10893,1.10893,1.1089,1.1089,0.0
1.1089,1.10896,1.10889,1.1089,0.0
1.10889,1.10893,1.10888,1.1089,0.0
1.1089,1.1089,1.1089,1.1089,0.0
1.1089,1.1089,1.10884,1.10884,0.0
1.10884,1.10884,1.10869,1.10871,0.0
